<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2005.08.04	06:00:00	1.21420	1.21550	1.21280	1.21450	1063	0	40
2005.08.04	09:00:00	1.21440	1.21610	1.21310	1.21490	1195	0	40
2005.08.04	12:00:00	1.21480	1.21800	1.21460	1.21640	1190	0	40
2005.08.04	15:00:00	1.21630	1.21690	1.21010	1.21190	1550	0	40
2005.08.04	18:00:00	1.21160	1.21450	1.21150	1.21400	1305	0	40
2005.08.04	21:00:00	1.21410	1.21450	1.21210	1.21220	987	0	40
2005.08.05	00:00:00	1.21240	1.21490	1.21190	1.21430	1009	0	40
2005.08.05	03:00:00	1.21420	1.21590	1.21390	1.21550	834	0	40
2005.08.05	06:00:00	1.21550	1.21670	1.21510	1.21560	983	0	40
2005.08.05	09:00:00	1.21550	1.21650	1.21360	1.21560	1345	0	40
2005.08.05	12:00:00	1.21560	1.22360	1.21330	1.22190	1804	0	40
2005.08.05	15:00:00	1.22190	1.22450	1.21650	1.21870	1889	0	40
2005.08.05	18:00:00	1.21870	1.21920	1.21570	1.21590	1147	0	40
2005.08.05	21:00:00	1.21610	1.21710	1.21500	1.21630	810	0	40
2005.08.08	00:00:00	1.21640	1.21770	1.21620	1.21690	679	0	40
2005.08.08	03:00:00	1.21700	1.21900	1.21590	1.21830	1117	0	40
2005.08.08	06:00:00	1.21810	1.21940	1.21700	1.21890	1045	0	40
2005.08.08	09:00:00	1.21880	1.21920	1.21280	1.21360	1276	0	40
2005.08.08	12:00:00	1.21370	1.21520	1.21020	1.21100	1515	0	40
2005.08.08	15:00:00	1.21100	1.21360	1.21040	1.21330	1379	0	40
2005.08.08	18:00:00	1.21330	1.21500	1.21120	1.21370	1343	0	40
2005.08.08	21:00:00	1.21380	1.21580	1.21300	1.21480	1145	0	40
2005.08.09	00:00:00	1.21490	1.21490	1.21280	1.21370	857	0	40
2005.08.09	03:00:00	1.21380	1.21390	1.21170	1.21230	913	0	40
2005.08.09	06:00:00	1.21250	1.21380	1.21150	1.21170	984	0	40
2005.08.09	09:00:00	1.21180	1.21850	1.21130	1.21810	1286	0	40
2005.08.09	12:00:00	1.21820	1.21850	1.21300	1.21550	1446	0	40
2005.08.09	15:00:00	1.21540	1.21670	1.21350	1.21420	1497	0	40
2005.08.09	18:00:00	1.21440	1.21550	1.21210	1.21350	1291	0	40
2005.08.09	21:00:00	1.21350	1.21450	1.21170	1.21270	1204	0	40
2005.08.10	00:00:00	1.21280	1.21410	1.21230	1.21350	851	0	40
2005.08.10	03:00:00	1.21360	1.21490	1.21300	1.21450	828	0	40
2005.08.10	06:00:00	1.21460	1.21530	1.21270	1.21490	917	0	40
2005.08.10	09:00:00	1.21500	1.21700	1.21360	1.21380	1352	0	40
2005.08.10	12:00:00	1.21380	1.21480	1.20920	1.21100	1617	0	40
2005.08.10	15:00:00	1.21110	1.21420	1.21050	1.21140	1736	0	40
2005.08.10	18:00:00	1.21140	1.21230	1.21050	1.21100	1119	0	40
2005.08.10	21:00:00	1.21100	1.21170	1.20950	1.21050	1126	0	40
2005.08.11	00:00:00	1.21050	1.21200	1.21030	1.21140	803	0	40
2005.08.11	03:00:00	1.21150	1.21180	1.20820	1.20840	1085	0	40
2005.08.11	06:00:00	1.20840	1.21090	1.20820	1.20960	1119	0	40
2005.08.11	09:00:00	1.20950	1.21070	1.20750	1.20800	1377	0	40
2005.08.11	12:00:00	1.20780	1.20840	1.20630	1.20730	1278	0	40
2005.08.11	15:00:00	1.20740	1.20760	1.19970	1.20250	1807	0	40
2005.08.11	18:00:00	1.20270	1.20330	1.20070	1.20180	1258	0	40
2005.08.11	21:00:00	1.20170	1.20280	1.19970	1.20260	1155	0	40
2005.08.12	00:00:00	1.20260	1.20500	1.20090	1.20360	1093	0	40
2005.08.12	03:00:00	1.20350	1.20430	1.20190	1.20290	999	0	40
2005.08.12	06:00:00	1.20280	1.20320	1.20090	1.20130	895	0	40
2005.08.12	09:00:00	1.20130	1.20170	1.19910	1.19990	1250	0	40
2005.08.12	12:00:00	1.19970	1.20100	1.19510	1.19960	1453	0	40
2005.08.12	15:00:00	1.19970	1.20140	1.19230	1.19490	1651	0	40
2005.08.12	18:00:00	1.19490	1.19620	1.19330	1.19570	1173	0	40
2005.08.12	21:00:00	1.19580	1.19770	1.19540	1.19730	715	0	40
2005.08.15	00:00:00	1.19590	1.19640	1.19410	1.19590	826	0	40
2005.08.15	03:00:00	1.19600	1.19650	1.19460	1.19600	916	0	40
2005.08.15	06:00:00	1.19610	1.19770	1.19580	1.19680	784	0	40
2005.08.15	09:00:00	1.19680	1.19840	1.19470	1.19760	1183	0	40
2005.08.15	12:00:00	1.19750	1.19820	1.19490	1.19620	1186	0	40
2005.08.15	15:00:00	1.19630	1.19960	1.19510	1.19700	1337	0	40
2005.08.15	18:00:00	1.19710	1.20170	1.19620	1.19930	1190	0	40
2005.08.15	21:00:00	1.19910	1.20040	1.19830	1.20010	926	0	40
2005.08.16	00:00:00	1.20010	1.20150	1.19960	1.20100	785	0	40
2005.08.16	03:00:00	1.20110	1.20470	1.20040	1.20350	1073	0	40
2005.08.16	06:00:00	1.20360	1.20450	1.20120	1.20300	1046	0	40
2005.08.16	09:00:00	1.20310	1.20390	1.20060	1.20340	1390	0	40
2005.08.16	12:00:00	1.20330	1.20480	1.19950	1.20010	1466	0	40
2005.08.16	15:00:00	1.19980	1.20060	1.19760	1.19770	1593	0	40
2005.08.16	18:00:00	1.19810	1.20010	1.19710	1.19940	1154	0	40
2005.08.16	21:00:00	1.19930	1.20000	1.19730	1.19830	997	0	40
2005.08.17	00:00:00	1.19820	1.20060	1.19790	1.20020	915	0	40
2005.08.17	03:00:00	1.20020	1.20200	1.20000	1.20100	956	0	40
2005.08.17	06:00:00	1.20130	1.20330	1.20040	1.20260	1154	0	40
2005.08.17	09:00:00	1.20250	1.20350	1.20060	1.20170	1312	0	40
2005.08.17	12:00:00	1.20140	1.20310	1.19900	1.20110	1497	0	40
2005.08.17	15:00:00	1.20110	1.20940	1.20090	1.20740	1789	0	40
2005.08.17	18:00:00	1.20720	1.21300	1.20620	1.21270	1366	0	40
2005.08.17	21:00:00	1.21240	1.21460	1.21080	1.21430	1096	0	40
2005.08.18	00:00:00	1.21430	1.21500	1.21280	1.21400	789	0	40
2005.08.18	03:00:00	1.21400	1.21420	1.21150	1.21200	901	0	40
2005.08.18	06:00:00	1.21220	1.21350	1.21120	1.21210	830	0	40
2005.08.18	09:00:00	1.21220	1.21590	1.21050	1.21510	1150	0	40
2005.08.18	12:00:00	1.21510	1.21800	1.21320	1.21760	1277	0	40
2005.08.18	15:00:00	1.21770	1.22130	1.21530	1.21780	1459	0	40
2005.08.18	18:00:00	1.21760	1.22220	1.21760	1.21930	1289	0	40
2005.08.18	21:00:00	1.21930	1.21980	1.21620	1.21900	1102	0	40
2005.08.19	00:00:00	1.21890	1.21930	1.21800	1.21870	761	0	40
2005.08.19	03:00:00	1.21880	1.21960	1.21650	1.21880	941	0	40
2005.08.19	06:00:00	1.21870	1.21980	1.21800	1.21970	933	0	40
2005.08.19	09:00:00	1.21930	1.22180	1.21820	1.22030	1105	0	40
2005.08.19	12:00:00	1.22040	1.22080	1.21550	1.21770	1278	0	40
2005.08.19	15:00:00	1.21780	1.21890	1.21440	1.21460	1393	0	40
2005.08.19	18:00:00	1.21440	1.21440	1.20930	1.21220	1327	0	40
2005.08.19	21:00:00	1.21230	1.21280	1.21030	1.21100	686	0	40
2005.08.22	00:00:00	1.21040	1.21300	1.20920	1.21270	845	0	40
2005.08.22	03:00:00	1.21260	1.21330	1.21000	1.21190	975	0	40
2005.08.22	06:00:00	1.21180	1.21350	1.21090	1.21230	904	0	40
2005.08.22	09:00:00	1.21240	1.21310	1.21020	1.21070	1069	0	40
2005.08.22	12:00:00	1.21060	1.21170	1.20630	1.20790	1280	0	40
2005.08.22	15:00:00	1.20790	1.20870	1.20330	1.20390	1351	0	40
2005.08.22	18:00:00	1.20390	1.20480	1.20330	1.20330	991	0	40
2005.08.22	21:00:00	1.20350	1.20410	1.20100	1.20200	995	0	40
2005.08.23	00:00:00	1.20190	1.20420	1.20130	1.20340	789	0	40
2005.08.23	03:00:00	1.20340	1.20470	1.20300	1.20400	795	0	40
2005.08.23	06:00:00	1.20390	1.20510	1.20190	1.20280	867	0	40
2005.08.23	09:00:00	1.20290	1.20340	1.20110	1.20300	1172	0	40
2005.08.23	12:00:00	1.20290	1.20420	1.19850	1.20210	1341	0	40
2005.08.23	15:00:00	1.20190	1.20290	1.19620	1.19840	1291	0	40
2005.08.23	18:00:00	1.19840	1.19860	1.19650	1.19730	1031	0	40
2005.08.23	21:00:00	1.19730	1.19820	1.19670	1.19740	947	0	40
2005.08.24	00:00:00	1.19750	1.19980	1.19730	1.19900	713	0	40
2005.08.24	03:00:00	1.19870	1.20020	1.19800	1.19990	883	0	40
2005.08.24	06:00:00	1.19980	1.20260	1.19950	1.20150	1114	0	40
2005.08.24	09:00:00	1.20170	1.20180	1.19760	1.19860	1228	0	40
2005.08.24	12:00:00	1.19840	1.19900	1.19310	1.19330	1269	0	40
2005.08.24	15:00:00	1.19340	1.19820	1.19270	1.19610	1458	0	40
2005.08.24	18:00:00	1.19570	1.19610	1.18940	1.19110	1356	0	40
2005.08.24	21:00:00	1.19090	1.19230	1.18910	1.19110	1102	0	40
2005.08.25	00:00:00	1.19120	1.19130	1.18750	1.18820	842	0	40
2005.08.25	03:00:00	1.18820	1.18990	1.18780	1.18910	909	0	40
2005.08.25	06:00:00	1.18890	1.18980	1.18800	1.18830	884	0	40
2005.08.25	09:00:00	1.18800	1.19100	1.18610	1.18820	1328	0	40
2005.08.25	12:00:00	1.18830	1.19210	1.18730	1.19040	1286	0	40
2005.08.25	15:00:00	1.19040	1.19140	1.18770	1.18930	1398	0	40
2005.08.25	18:00:00	1.18940	1.19180	1.18750	1.19060	1225	0	40
2005.08.25	21:00:00	1.19040	1.19320	1.19040	1.19170	1084	0	40
2005.08.26	00:00:00	1.19160	1.19360	1.19090	1.19200	883	0	40
2005.08.26	03:00:00	1.19210	1.19260	1.19080	1.19120	832	0	40
2005.08.26	06:00:00	1.19110	1.19360	1.19090	1.19300	920	0	40
2005.08.26	09:00:00	1.19320	1.19660	1.19050	1.19530	1277	0	40
2005.08.26	12:00:00	1.19530	1.19750	1.19140	1.19150	1364	0	40
2005.08.26	15:00:00	1.19160	1.19640	1.19100	1.19560	1357	0	40
2005.08.26	18:00:00	1.19530	1.19910	1.19530	1.19850	1146	0	40
2005.08.26	21:00:00	1.19860	1.20070	1.19820	1.19910	676	0	40
2005.08.29	00:00:00	1.19760	1.19780	1.18940	1.18970	1141	0	40
2005.08.29	03:00:00	1.18980	1.19460	1.18950	1.19330	1057	0	40
2005.08.29	06:00:00	1.19290	1.19380	1.19070	1.19210	940	0	40
2005.08.29	09:00:00	1.19220	1.19430	1.19130	1.19390	1036	0	40
2005.08.29	12:00:00	1.19400	1.19470	1.19010	1.19160	1344	0	40
2005.08.29	15:00:00	1.19170	1.19780	1.19160	1.19700	1403	0	40
